location,date,total_cases,total_deaths
Africa,2020-02-13,NA,NA
Africa,2020-02-14,1,NA
Africa,2020-02-15,1,NA
Africa,2020-02-16,1,NA
Africa,2020-02-17,1,NA
Africa,2020-02-18,1,NA
Africa,2020-02-19,1,NA
Africa,2020-02-20,1,NA
Africa,2020-02-21,1,NA
Africa,2020-02-22,1,NA
Africa,2020-02-23,1,NA
Africa,2020-02-24,1,NA
Africa,2020-02-25,2,NA
Africa,2020-02-26,2,NA
Africa,2020-02-27,2,NA
Africa,2020-02-28,3,NA
Africa,2020-02-29,3,NA
Africa,2020-03-01,4,NA
Africa,2020-03-02,8,NA
Africa,2020-03-03,11,NA
Africa,2020-03-04,21,NA
Africa,2020-03-05,24,NA
Africa,2020-03-06,43,NA
Africa,2020-03-07,43,NA
Africa,2020-03-08,83,1
Africa,2020-03-09,91,1
Africa,2020-03-10,104,2
Africa,2020-03-11,118,2
Africa,2020-03-12,134,3
Africa,2020-03-13,176,6
Africa,2020-03-14,252,7
Africa,2020-03-15,317,8
Africa,2020-03-16,404,8
Africa,2020-03-17,492,11
Africa,2020-03-18,610,17
Africa,2020-03-19,788,20
Africa,2020-03-20,970,26
Africa,2020-03-21,1170,35
Africa,2020-03-22,1423,46
Africa,2020-03-23,1806,55
Africa,2020-03-24,2244,62
Africa,2020-03-25,2767,73
Africa,2020-03-26,3293,91
Africa,2020-03-27,3873,115
Africa,2020-03-28,4216,134
Africa,2020-03-29,4780,151
Africa,2020-03-30,5175,172
Africa,2020-03-31,5761,198
Africa,2020-04-01,6360,233
Africa,2020-04-02,7016,285
Africa,2020-04-03,7897,331
Africa,2020-04-04,8579,382
Africa,2020-04-05,9264,442
Africa,2020-04-06,9980,487
Africa,2020-04-07,10608,533
Africa,2020-04-08,11414,573
Africa,2020-04-09,12207,627
Africa,2020-04-10,12901,690
Africa,2020-04-11,13615,742
Africa,2020-04-12,14484,788
Africa,2020-04-13,15256,833
Africa,2020-04-14,16227,873
Africa,2020-04-15,17192,910
Africa,2020-04-16,18360,965
Africa,2020-04-17,19763,1015
Africa,2020-04-18,21071,1058
Africa,2020-04-19,22268,1120
Africa,2020-04-20,23431,1159
Africa,2020-04-21,24507,1189
Africa,2020-04-22,25910,1240
Africa,2020-04-23,27347,1297
Africa,2020-04-24,29052,1324
Africa,2020-04-25,30296,1372
Africa,2020-04-26,31828,1422
Africa,2020-04-27,33165,1461
Africa,2020-04-28,34784,1522
Africa,2020-04-29,36807,1588
Africa,2020-04-30,38753,1634
Africa,2020-05-01,40468,1690
Africa,2020-05-02,42705,1759
Africa,2020-05-03,44297,1796
Africa,2020-05-04,46951,1842
Africa,2020-05-05,48993,1906
Africa,2020-05-06,51535,2006
Africa,2020-05-07,54022,2073
Africa,2020-05-08,57647,2154
Africa,2020-05-09,60507,2221
Africa,2020-05-10,63086,2290
Africa,2020-05-11,66145,2344
Africa,2020-05-12,69312,2395
Africa,2020-05-13,72226,2493
Africa,2020-05-14,75344,2562
Africa,2020-05-15,78270,2624
Africa,2020-05-16,81273,2708
Africa,2020-05-17,84587,2758
Africa,2020-05-18,88255,2831
Africa,2020-05-19,91266,2906
Africa,2020-05-20,95057,2990
Africa,2020-05-21,99752,3095
Africa,2020-05-22,103620,3183
Africa,2020-05-23,107485,3255
Africa,2020-05-24,111605,3354
Africa,2020-05-25,115733,3479
Africa,2020-05-26,119444,3591
Africa,2020-05-27,124524,3698
Africa,2020-05-28,129440,3791
Africa,2020-05-29,135186,3922
Africa,2020-05-30,141304,4069
Africa,2020-05-31,146551,4222
Africa,2020-06-01,152336,4343
Africa,2020-06-02,157214,4493
Africa,2020-06-03,162311,4601
Africa,2020-06-04,169417,4756
Africa,2020-06-05,176603,4913
Africa,2020-06-06,183202,5055
Africa,2020-06-07,189536,5188
Africa,2020-06-08,196187,5363
Africa,2020-06-09,202657,5537
Africa,2020-06-10,209202,5688
Africa,2020-06-11,216605,5851
Africa,2020-06-12,224684,6049
Africa,2020-06-13,232771,6253
Africa,2020-06-14,241551,6459
Africa,2020-06-15,251144,6761
Africa,2020-06-16,258786,7015
Africa,2020-06-17,267522,7218
Africa,2020-06-18,275757,7419
Africa,2020-06-19,285570,7682
Africa,2020-06-20,296919,7918
Africa,2020-06-21,306356,8114
Africa,2020-06-22,315343,8338
Africa,2020-06-23,324419,8620
Africa,2020-06-24,335768,8855
Africa,2020-06-25,347710,9069
Africa,2020-06-26,359308,9282
Africa,2020-06-27,371545,9484
Africa,2020-06-28,382153,9663
Africa,2020-06-29,393283,9877
Africa,2020-06-30,404891,10146
Africa,2020-07-01,418104,10404
Africa,2020-07-02,432306,10643
Africa,2020-07-03,447466,10882
Africa,2020-07-04,462951,11083
Africa,2020-07-05,476586,11363
Africa,2020-07-06,490326,11610
Africa,2020-07-07,507792,11975
Africa,2020-07-08,522535,12232
Africa,2020-07-09,541725,12457
Africa,2020-07-10,559430,12763
Africa,2020-07-11,578216,12988
Africa,2020-07-12,594933,13241
Africa,2020-07-13,611002,13463
Africa,2020-07-14,625452,13762
Africa,2020-07-15,643484,13988
Africa,2020-07-16,663929,14356
Africa,2020-07-17,683468,14672
Africa,2020-07-18,702480,14953
Africa,2020-07-19,721049,15169
Africa,2020-07-20,736561,15423
Africa,2020-07-21,750440,15737
Africa,2020-07-22,770049,16445
Africa,2020-07-23,788518,16713
Africa,2020-07-24,810613,17104
Africa,2020-07-25,828757,17521
Africa,2020-07-26,847065,17765
Africa,2020-07-27,860515,18175
Africa,2020-07-28,874016,18497
Africa,2020-07-29,891656,18864
Africa,2020-07-30,909073,19317
Africa,2020-07-31,928075,19680
Africa,2020-08-01,944997,19974
Africa,2020-08-02,957731,20304
Africa,2020-08-03,968595,20626
Africa,2020-08-04,978515,21099
Africa,2020-08-05,993874,21638
Africa,2020-08-06,1008204,22069
Africa,2020-08-07,1021693,22508
Africa,2020-08-08,1035915,22920
Africa,2020-08-09,1048272,23279
Africa,2020-08-10,1057404,23598
Africa,2020-08-11,1065279,23865
Africa,2020-08-12,1074535,24274
Africa,2020-08-13,1084940,24682
Africa,2020-08-14,1097484,25098
Africa,2020-08-15,1109296,25338
Africa,2020-08-16,1119254,25633
Africa,2020-08-17,1128106,25897
Africa,2020-08-18,1136758,26312
Africa,2020-08-19,1147648,26640
Africa,2020-08-20,1158260,26977
Africa,2020-08-21,1168533,27329
Africa,2020-08-22,1178966,27603
Africa,2020-08-23,1188019,27785
Africa,2020-08-24,1195531,28005
Africa,2020-08-25,1203068,28288
Africa,2020-08-26,1211924,28607
Africa,2020-08-27,1220472,28860
Africa,2020-08-28,1228581,29091
Africa,2020-08-29,1236945,29422
Africa,2020-08-30,1245415,29586
Africa,2020-08-31,1252228,29812
Africa,2020-09-01,1259391,30054
Africa,2020-09-02,1268105,30319
Africa,2020-09-03,1275851,30616
Africa,2020-09-04,1284430,30854
Africa,2020-09-05,1291822,31079
Africa,2020-09-06,1299644,31303
Africa,2020-09-07,1306517,31521
Africa,2020-09-08,1314196,31747
Africa,2020-09-09,1322490,31939
Africa,2020-09-10,1330538,32124
Africa,2020-09-11,1339233,32355
Africa,2020-09-12,1346641,32501
Africa,2020-09-13,1353386,32622
Africa,2020-09-14,1359867,32793
Africa,2020-09-15,1366423,33070
Africa,2020-09-16,1373750,33249
Africa,2020-09-17,1382352,33428
Africa,2020-09-18,1390520,33621
Africa,2020-09-19,1399248,33823
Africa,2020-09-20,1407668,33956
Africa,2020-09-21,1413814,34082
Africa,2020-09-22,1420652,34322
Africa,2020-09-23,1429378,34531
Africa,2020-09-24,1437564,34706
Africa,2020-09-25,1445542,34860
Africa,2020-09-26,1451954,35028
Africa,2020-09-27,1460322,35163
Africa,2020-09-28,1465989,35457
Africa,2020-09-29,1473500,35674
Africa,2020-09-30,1481930,35863
Africa,2020-10-01,1489195,36080
Africa,2020-10-02,1498044,36229
Africa,2020-10-03,1506872,36340
Africa,2020-10-04,1514965,36510
Africa,2020-10-05,1519672,36638
Africa,2020-10-06,1526267,36826
Africa,2020-10-07,1536821,37095
Africa,2020-10-08,1547725,37393
Africa,2020-10-09,1556288,37629
Africa,2020-10-10,1569819,37900
Africa,2020-10-11,1578797,38108
Africa,2020-10-12,1584674,38301
Africa,2020-10-13,1592514,38572
Africa,2020-10-14,1604026,38835
Africa,2020-10-15,1613133,39089
Africa,2020-10-16,1623813,39296
Africa,2020-10-17,1638080,39561
Africa,2020-10-18,1646273,39746
Africa,2020-10-19,1655958,39930
Africa,2020-10-20,1665745,40228
Africa,2020-10-21,1676224,40480
Africa,2020-10-22,1687190,40696
Africa,2020-10-23,1697608,40920
Africa,2020-10-24,1709369,41143
Africa,2020-10-25,1718465,41259
Africa,2020-10-26,1729156,41607
Africa,2020-10-27,1737828,41789
Africa,2020-10-28,1749731,42135
Africa,2020-10-29,1760797,42337
Africa,2020-10-30,1774401,42629
Africa,2020-10-31,1785475,42853
Africa,2020-11-01,1795768,43175
Africa,2020-11-02,1803344,43389
Africa,2020-11-03,1814219,43705
Africa,2020-11-04,1828228,43940
Africa,2020-11-05,1843619,44244
Africa,2020-11-06,1855337,44467
Africa,2020-11-07,1870356,44845
Africa,2020-11-08,1882860,45360
Africa,2020-11-09,1891757,45609
Africa,2020-11-10,1904921,45950
Africa,2020-11-11,1918938,46282
Africa,2020-11-12,1934695,46551
Africa,2020-11-13,1949358,46831
Africa,2020-11-14,1963445,47066
Africa,2020-11-15,1976005,47362
Africa,2020-11-16,1986322,47641
Africa,2020-11-17,1999195,48034
Africa,2020-11-18,2014480,48426
Africa,2020-11-19,2028406,48702
Africa,2020-11-20,2044150,49114
Africa,2020-11-21,2057507,49428
Africa,2020-11-22,2070302,49718
Africa,2020-11-23,2080377,49987
Africa,2020-11-24,2092881,50331
Africa,2020-11-25,2107527,50646
Africa,2020-11-26,2121460,50944
Africa,2020-11-27,2137499,51264
Africa,2020-11-28,2150900,51499
Africa,2020-11-29,2163977,51723
Africa,2020-11-30,2174318,51992
Africa,2020-12-01,2185155,52250
Africa,2020-12-02,2201566,52580
Africa,2020-12-03,2217208,52847
Africa,2020-12-04,2235176,53277
Africa,2020-12-05,2249944,53564
Africa,2020-12-06,2263420,53870
Africa,2020-12-07,2274054,54118
Africa,2020-12-08,2287309,54520
Africa,2020-12-09,2306706,54870
Africa,2020-12-10,2325841,55264
Africa,2020-12-11,2344920,55662
Africa,2020-12-12,2363057,55988
Africa,2020-12-13,2379283,56334
Africa,2020-12-14,2390688,56645
Africa,2020-12-15,2408675,57072
Africa,2020-12-16,2429803,57418
Africa,2020-12-17,2450322,57814
Africa,2020-12-18,2469642,58310
Africa,2020-12-19,2490910,58759
Africa,2020-12-20,2509336,59099
Africa,2020-12-21,2526123,59528
Africa,2020-12-22,2546110,60057
Africa,2020-12-23,2571857,60877
Africa,2020-12-24,2598902,61431
Africa,2020-12-25,2624687,61955
Africa,2020-12-26,2646070,62374
Africa,2020-12-27,2664745,62806
Africa,2020-12-28,2679944,63351
Africa,2020-12-29,2700072,64068
Africa,2020-12-30,2730665,64769
Africa,2020-12-31,2760454,65468
Africa,2021-01-01,2788203,66126
Africa,2021-01-02,2811093,66641
Africa,2021-01-03,2833088,67246
Africa,2021-01-04,2854863,67930
Africa,2021-01-05,2881708,68751
Africa,2021-01-06,2917497,69861
Africa,2021-01-07,2952934,70550
Africa,2021-01-08,2989374,71460
Africa,2021-01-09,3024446,72117
Africa,2021-01-10,3056084,72711
Africa,2021-01-11,3084082,73392
Africa,2021-01-12,3110152,74467
Africa,2021-01-13,3144213,75688
Africa,2021-01-14,3178460,76741
Africa,2021-01-15,3210018,77646
Africa,2021-01-16,3237546,78308
Africa,2021-01-17,3264174,78906
Africa,2021-01-18,3286590,79632
Africa,2021-01-19,3310074,80834
Africa,2021-01-20,3338410,81756
Africa,2021-01-21,3366360,82782
Africa,2021-01-22,3392340,83755
Africa,2021-01-23,3419704,84537
Africa,2021-01-24,3439885,85184
Africa,2021-01-25,3456519,85955
Africa,2021-01-26,3475126,86938
Africa,2021-01-27,3495987,87989
Africa,2021-01-28,3516765,88985
Africa,2021-01-29,3535971,89831
Africa,2021-01-30,3553839,90445
Africa,2021-01-31,3569601,90970
Africa,2021-02-01,3582291,91479
Africa,2021-02-02,3597115,92363
Africa,2021-02-03,3612577,93073
Africa,2021-02-04,3629043,93640
Africa,2021-02-05,3644975,94187
Africa,2021-02-06,3658315,94734
Africa,2021-02-07,3670256,95091
Africa,2021-02-08,3681607,95535
Africa,2021-02-09,3692899,96234
Africa,2021-02-10,3706026,96770
Africa,2021-02-11,3717944,97265
Africa,2021-02-12,3731845,97830
Africa,2021-02-13,3742776,98181
Africa,2021-02-14,3753191,98475
Africa,2021-02-15,3763031,98945
Africa,2021-02-16,3773025,99410
Africa,2021-02-17,3785191,99812
Africa,2021-02-18,3799239,100325
Africa,2021-02-19,3810283,100709
Africa,2021-02-20,3819822,100999
Africa,2021-02-21,3829333,101336
Africa,2021-02-22,3838352,101671
Africa,2021-02-23,3846104,102142
Africa,2021-02-24,3856590,102468
Africa,2021-02-25,3868956,102825
Africa,2021-02-26,3880035,103142
Africa,2021-02-27,3887867,103481
Africa,2021-02-28,3897281,103706
Africa,2021-03-01,3906070,104021
Africa,2021-03-02,3913621,104384
Africa,2021-03-03,3924485,104660
Africa,2021-03-04,3937063,104991
Africa,2021-03-05,3945600,105216
Africa,2021-03-06,3955555,105481
Africa,2021-03-07,3964028,105712
Africa,2021-03-08,3973315,106091
Africa,2021-03-09,3981120,106380
Africa,2021-03-10,3991541,106681
Africa,2021-03-11,4006762,107004
Africa,2021-03-12,4016631,107232
Africa,2021-03-13,4026961,107526
Africa,2021-03-14,4035519,107777
Africa,2021-03-15,4044037,108086
Africa,2021-03-16,4053080,108394
Africa,2021-03-17,4064067,108671
Africa,2021-03-18,4075369,108932
Africa,2021-03-19,4087990,109477
Africa,2021-03-20,4097237,109674
Africa,2021-03-21,4106372,109903
Africa,2021-03-22,4116081,110163
Africa,2021-03-23,4124678,110485
Africa,2021-03-24,4135500,110805
Africa,2021-03-25,4148074,111193
Africa,2021-03-26,4166506,111535
Africa,2021-03-27,4176105,111728
Africa,2021-03-28,4185014,111911
Africa,2021-03-29,4194759,112225
Africa,2021-03-30,4204543,112502
Africa,2021-03-31,4217242,112755
Africa,2021-04-01,4239521,113165
Africa,2021-04-02,4252592,113411
Africa,2021-04-03,4261395,113579
Africa,2021-04-04,4270946,113851
Africa,2021-04-05,4280169,114081
Africa,2021-04-06,4289781,114317
Africa,2021-04-07,4301440,114584
Africa,2021-04-08,4318253,114935
Africa,2021-04-09,4330814,115198
Africa,2021-04-10,4340528,115421
Africa,2021-04-11,4350270,115710
Africa,2021-04-12,4360482,115970
Africa,2021-04-13,4370255,116377
Africa,2021-04-14,4384177,116745
Africa,2021-04-15,4396821,117059
Africa,2021-04-16,4408875,117366
Africa,2021-04-17,4422234,117646
Africa,2021-04-18,4431585,117898
Africa,2021-04-19,4440334,118197
Africa,2021-04-20,4450456,118608
Africa,2021-04-21,4462323,118919
Africa,2021-04-22,4474793,119225
Africa,2021-04-23,4486858,119603
Africa,2021-04-24,4497010,119840
Africa,2021-04-25,4506469,120131
Africa,2021-04-26,4513330,120427
Africa,2021-04-27,4523129,120793
